,Tweets
0,b'@INCMP Chhattisgarh aur jharkhand ko option me q ni rkha?? Waha adivasi ni rehte?.'
1,b'What is trending on twitter is just shamefull #happychildrensday'
2,"b'Chinese propaganda videos (inventions,gym,food) is all over Indian Instagram reels and meme pages...This is a calculated way to fool Indian users and create some sympathy or attraction towards China .. @ianuragthakur @HmlEmpire'"
3,b'@CricCrazyJohns If he becomes then Wow'
4,b'Congress is the B of BJP @INCIndia @BJP4India'
5,"b""@varungandhi80 Shame shame shame....it's fucking treason...why your party awarding her...10-15saal baad log jb dekhnge tb ka v socho..."""
6,"b""Salman Khurshid is old now...take rest don't go down like Hamid Ansari.. #ayodhya"""
7,b'@INCIndia is the new left ...'
8,b'This idiot is shame for the nation... #kanganaranuat'
9,b'@IrfanPathan I respectfully disagree... Williamson Guptil and Boult are literally stars ...'
10,b'@IndiaOurHome1 @IamSanjuSamson Inconsistent nigga'
11,"b""@nawabmalikncp Let's put some dirt in their eyes...."""
12,"b""#sunilgavaskar is kinda weird as usual...Ipl is more imp than T20 WC.. doubting rohit even before his permanent tenure started... What's wrong Oldie"""
13,"b""Ok @ImRo45 is the new capt... Let's hope we win in 2022"""
14,"b""@theskindoctor13 Ok..Yamuna is only Delhi's Local river?? Haryana and Up @BJP4India @AamAadmiParty"""
15,b'@DelhiCapitals Less Mumbai Caucus now India has Delhi caucus...'
16,"b""Every Indian cric players...ravi bhai ravi bhai...\nLet's see What Rahul BHAI will do..."""
17,b'Woke Virat Kohli has #toxic fan club...match made in heaven @vikrantgupta73'
18,b'@ndtv Why are liquors in that state is the main question...'
19,b'@OfficeofNM Yay!!!'
20,b'Happy Diwali'
21,b'@thevirdas Tbh no offense....but chutiya ho kya??'
22,"b""@RanaAyyub @nazir_lord One day he'll join @BJP4India and get a pic with honorable @AmitShah or @narendramodi you'll be a hypocrite as always..."""
23,b'Pls conduct a referendum and declare them as independent states.... #Tharoor https://t.co/WuNXrJ8fWP'
24,"b""@vampirinaaaa Huehuehuehue... Pakistan has qualified for the semis tbh good team played well...But still Pakistan is a terror hub not a safe place to breathe...don't believe me...I guess future will be kinder to me.."""
25,b'Tbh @nawabmalikncp op'
26,b'@rajasthanroyals Love : Joss Buttler\nBut : Rajasthan Royals...'
27,b'Up and Bihar govt ...why this wokism??'
28,b'@SushantNMehta England turned the toss thing.... @Eoin16 @josbuttler'
29,"b""Attacking ict for defending @MdShami11 ...The one who are doing this are the one's who were abusing him before...The language is changed .. #Communals.."""
30,b'@Sahastranshu19 @ndtvfeed @JM_Scindia @AAI_Official @aaiRanchiApt @Jaipur_Airport Indeed'
31,b'@ndtvfeed That is remarkable....'
32,"b'@ItsShubhangi Yep...Come home burn some crackers , eat soan papdi and have fun with fam and friends... @imVkohli @BCCI'"
33,b'Sees @narendramodi as the supreme leader of India and has more respect towards him than himself... So yes @BJP4India is not going anywhere...Powerfull pictures are circulating every where of Modi @JoeBiden @EmmanuelMacron @trpresidency..Be scared congress you are finished...'
34,"b""The others who work are working from home...That's the deal @INCIndia needs to understand...Govt employees kids are the ones who are working for It and other Work from sector companies...they don't give a fuck about the price rise...and the one's who are waiting for govt jobs"""
35,b'Where is the protest on price rise...not by the oppst parties...they are useless in India now...But by the people who are paying?? covid is not only saving maharastra govt from falling but also saving Modi govt from protest...As only 1-2 member of the fam is going to work'
36,b'@dhruv_rathee Are that dumb ??? Comparing 29Rs to 3000$??'
37,"b""@dhruv_rathee Huehuehuehue....let's see who the voters vote..."""
